#Task Selector: 4
#PID Parameters: kp: 0.02, kd: 0.01, ki: 0.00
#n_pos: 5
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
16 0.00 0.00 0.00 0.00 -12.20 6.02 -2.44 -1.24 0.00 0.00 0.00 0.00
1683889122842923 0.00 0.00 0.00 0.00 -14.70 7.11 -5.38 -2.75 30.19 15.29 6.04 9.10
1683889122886527 0.00 0.00 0.00 0.00 -14.71 8.55 -8.32 -3.99 67.48 34.85 19.53 29.56
1683889122906191 0.00 0.00 0.00 0.00 -19.74 14.69 -12.27 -4.99 149.83 62.74 49.50 72.07
1683889122966968 0.00 0.00 0.00 0.00 -23.67 12.19 -17.00 -7.29 64.98 16.61 62.49 88.39
1683889123026165 0.00 0.00 0.00 0.00 -24.75 13.63 -19.51 -8.28 80.00 38.81 78.50 112.15
1683889123075998 0.00 0.00 0.00 0.00 -33.72 16.17 -23.32 -10.27 50.41 19.85 82.54 117.11
1683889123113488 0.00 0.00 0.00 0.00 -37.30 14.73 -27.84 -13.55 101.54 53.19 89.35 127.59
1683889123166582 0.00 0.00 0.00 0.00 -42.28 16.13 -32.34 -17.77 85.16 61.85 76.42 114.48
1683889123253297 0.00 0.00 0.00 0.00 -48.61 17.11 -37.33 -21.78 52.01 48.69 73.83 118.30
1683889123280757 0.00 0.00 0.00 0.00 -53.34 20.82 -43.05 -26.06 181.84 145.91 94.19 160.09
1683889123306309 0.00 0.00 0.00 0.00 -60.37 20.52 -48.38 -30.52 224.06 167.70 128.92 224.39
1683889123365098 0.00 0.00 0.00 0.00 -67.03 21.09 -54.33 -35.19 90.74 75.92 126.76 226.78
1683889123398140 0.00 0.00 0.00 0.00 -70.90 25.28 -60.05 -39.08 180.19 141.63 145.77 261.74
1683889123454887 0.00 0.00 0.00 0.00 -82.54 17.26 -66.84 -45.84 100.93 68.66 155.55 275.52
