#Task Selector: 4
#PID Parameters: kp: 0.06, kd: 0.04, ki: 0.00
#n_pos: 5
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1683891381300567 0.00 0.00 0.00 0.00 14.53 -9.87 2.91 -1.97 0.00 0.00 0.00 0.00
1683891381370548 0.00 0.00 0.00 0.00 14.52 -6.08 5.81 -3.19 -41.56 28.23 -8.31 5.65
1683891381425765 0.00 0.00 0.00 0.00 13.27 -8.60 8.46 -4.91 -52.63 22.03 -18.84 10.05
1683891381456427 0.00 0.00 0.00 0.00 13.26 -3.55 11.12 -5.62 -86.70 56.18 -36.18 21.29
1683891381504478 0.00 0.00 0.00 0.00 10.76 -3.55 13.27 -6.33 -55.21 14.79 -47.22 24.25
1683891381545542 0.00 0.00 0.00 0.00 10.75 -1.03 12.51 -4.56 -52.43 17.28 -57.71 27.70
1683891381606973 0.00 0.00 0.00 0.00 10.75 -2.29 11.76 -3.80 12.32 -28.79 -46.93 16.30
1683891381657600 0.00 0.00 0.00 0.00 7.00 -2.28 10.50 -2.54 14.89 -14.99 -33.43 8.89
1683891381749267 0.00 0.00 0.00 0.00 7.00 -2.28 9.25 -2.28 13.69 -13.80 -13.35 -5.10
1683891381801487 0.00 0.00 0.00 0.00 4.50 0.24 8.00 -1.53 23.97 -4.87 2.49 -9.03
1683891381831935 0.00 0.00 0.00 0.00 4.50 0.24 6.75 -1.28 41.09 -24.86 21.19 -17.46
1683891381849803 0.00 0.00 0.00 0.00 4.50 2.74 5.50 -0.27 70.02 -14.17 32.73 -14.54
1683891381928245 0.00 0.00 0.00 0.00 5.75 1.49 5.25 0.49 15.94 -12.83 32.94 -14.11
1683891381954869 0.00 0.00 0.00 0.00 3.26 10.24 4.51 2.99 9.50 -28.61 32.10 -17.07
1683891382023337 0.00 0.00 0.00 0.00 5.75 1.49 4.75 3.24 10.95 -36.62 29.50 -23.42
1683891382074827 0.00 0.00 0.00 0.00 9.50 0.23 5.75 3.24 -4.90 -4.93 20.30 -19.43
1683891382139298 0.00 0.00 0.00 0.00 11.99 2.74 7.25 3.24 -15.50 0.01 3.20 -16.60
1683891382224236 0.00 0.00 0.00 0.00 17.00 0.21 9.50 2.98 -17.64 0.02 -3.52 -14.03
1683891382249041 0.00 0.00 0.00 0.00 20.77 -1.06 13.00 0.72 -90.87 10.34 -23.59 -6.24
1683891382276689 0.00 0.00 0.00 0.00 22.02 -1.07 16.26 0.21 -126.77 81.87 -51.14 17.46
