#Task Selector: 5
#PID Parameters: kp: 0.10, kd: 0.04, ki: 0.01
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
16 80.00 0.00 0.00 0.00 7.40 1.93 0.74 0.19 0.00 0.00 0.00 0.00
1683557645070636 80.00 0.00 0.00 0.00 7.40 1.93 1.48 0.39 -41.24 -10.77 -4.12 -1.08
1683557645086100 80.00 0.00 0.00 0.00 6.35 2.98 2.11 0.68 -47.84 -12.50 -8.91 -2.33
1683557645102189 80.00 0.00 0.00 0.00 5.31 2.98 2.65 0.98 -39.48 -18.52 -12.86 -4.18
1683557645118606 80.00 0.00 0.00 0.00 6.35 1.93 3.28 1.18 -32.32 -18.15 -16.09 -5.99
1683557645137167 80.00 0.00 0.00 0.00 7.40 1.93 4.02 1.37 -34.22 -10.42 -19.51 -7.04
1683557645151173 80.00 0.00 0.00 0.00 7.40 2.98 4.76 1.67 -52.82 -13.80 -24.79 -8.42
1683557645169615 80.00 0.00 0.00 0.00 9.49 1.93 5.71 1.86 -40.11 -16.15 -28.80 -10.03
1683557645183678 80.00 0.00 0.00 0.00 11.59 2.97 6.87 2.16 -67.50 -13.73 -35.55 -11.40
1683557645199571 80.00 0.00 0.00 0.00 11.59 1.93 8.03 2.35 -72.92 -18.71 -42.85 -13.27
1683557645216246 80.00 0.00 0.00 0.00 11.59 1.93 8.45 2.35 -69.51 -11.56 -49.80 -14.43
1683557645232095 80.00 0.00 0.00 0.00 14.75 1.92 9.18 2.35 -26.46 0.04 -48.32 -13.35
1683557645248842 80.00 0.00 0.00 0.00 15.80 1.92 10.13 2.24 -43.88 0.07 -47.92 -12.09
1683557645264829 80.00 0.00 0.00 0.00 20.04 0.86 11.60 2.03 -59.12 6.63 -49.89 -9.58
1683557645281332 80.00 0.00 0.00 0.00 17.92 0.86 12.76 1.92 -89.28 12.86 -55.58 -6.48
1683557645297362 80.00 0.00 0.00 0.00 21.11 -1.25 14.13 1.60 -72.15 6.67 -59.38 -4.77
1683557645313938 80.00 0.00 0.00 0.00 24.30 0.84 15.82 1.39 -82.73 19.22 -62.37 -1.47
1683557645330643 80.00 0.00 0.00 0.00 25.38 -0.22 17.41 1.18 -101.21 12.80 -68.48 1.43
1683557645346588 80.00 0.00 0.00 0.00 26.46 -1.28 18.89 0.75 -99.64 13.48 -71.69 4.15
1683557645362513 80.00 0.00 0.00 0.00 28.62 -1.30 20.60 0.43 -93.39 26.72 -73.74 8.69
1683557645378378 80.00 0.00 0.00 0.00 32.97 -1.33 22.74 0.10 -107.33 20.31 -77.52 11.88
1683557645394980 80.00 0.00 0.00 0.00 34.07 -2.40 24.67 -0.33 -128.77 19.60 -87.75 13.84
1683557645411423 80.00 0.00 0.00 0.00 37.39 -3.50 26.83 -0.87 -117.54 26.28 -95.12 16.46
1683557645427472 80.00 0.00 0.00 0.00 43.01 -4.64 29.12 -1.42 -134.55 33.76 -102.66 19.17
1683557645444160 80.00 0.00 0.00 0.00 46.42 -4.69 31.97 -1.98 -137.62 32.95 -107.49 21.18
1683557645460118 80.00 0.00 0.00 0.00 46.42 -4.69 34.51 -2.32 -178.60 34.80 -118.14 23.99
1683557645477533 80.00 0.00 0.00 0.00 49.88 -4.74 37.06 -2.88 -145.32 19.74 -124.40 24.04
1683557645492861 80.00 0.00 0.00 0.00 49.90 -5.83 39.51 -3.44 -166.85 36.43 -130.96 26.41
1683557645508895 80.00 0.00 0.00 0.00 55.81 -7.04 42.45 -4.02 -152.90 35.00 -136.29 28.56
1683557645524942 80.00 0.00 0.00 0.00 58.21 -7.09 45.41 -4.59 -182.86 35.87 -145.24 29.47
1683557645541399 80.00 0.00 0.00 0.00 59.42 -7.12 48.05 -5.17 -179.78 35.21 -152.48 30.96
1683557645557256 80.00 0.00 0.00 0.00 59.42 -7.12 50.59 -5.65 -166.78 36.52 -156.28 32.66
1683557645574549 80.00 0.00 0.00 0.00 64.37 -8.35 53.28 -6.13 -146.55 27.28 -159.18 32.76
1683557645589736 80.00 0.00 0.00 0.00 64.33 -7.23 55.42 -6.39 -177.60 31.93 -163.49 32.57
1683557645606232 80.00 0.00 0.00 0.00 68.18 -9.58 57.59 -6.88 -129.30 15.71 -162.65 30.85
1683557645622715 80.00 0.00 0.00 0.00 69.50 -10.74 59.90 -7.48 -132.02 29.64 -158.00 30.33
1683557645638604 80.00 0.00 0.00 0.00 72.08 -10.83 62.12 -8.09 -145.25 38.10 -157.99 32.17
1683557645654991 80.00 0.00 0.00 0.00 75.99 -9.82 64.73 -8.49 -135.51 37.14 -154.86 32.24
1683557645671509 80.00 0.00 0.00 0.00 77.38 -11.01 66.89 -8.89 -157.99 24.16 -155.36 31.16
1683557645687744 80.00 0.00 0.00 0.00 77.38 -11.01 68.81 -9.28 -132.88 24.49 -150.37 30.02
1683557645703651 80.00 0.00 0.00 0.00 78.73 -11.06 70.74 -9.68 -120.54 24.67 -144.44 28.96
1683557645720070 80.00 0.00 0.00 0.00 85.73 -12.50 73.37 -10.21 -117.63 24.03 -139.53 27.71
1683557645738556 80.00 0.00 0.00 0.00 81.52 -12.32 75.08 -10.61 -142.34 29.11 -139.11 27.90
1683557645754472 80.00 0.00 0.00 0.00 85.73 -12.50 77.22 -11.14 -107.80 24.99 -132.13 27.20
1683557645768954 80.00 0.00 0.00 0.00 87.16 -12.56 79.12 -11.44 -147.74 36.36 -133.97 29.27
1683557645785625 80.00 0.00 0.00 0.00 88.60 -12.62 81.03 -11.62 -113.85 17.90 -132.15 28.10
1683557645801531 80.00 0.00 0.00 0.00 91.53 -12.75 82.98 -11.82 -120.12 11.82 -129.64 25.47
1683557645817405 80.00 0.00 0.00 0.00 88.54 -11.44 84.23 -11.98 -122.52 12.12 -128.34 22.97
1683557645833747 80.00 0.00 0.00 0.00 91.60 -13.94 85.65 -12.27 -76.78 9.93 -120.22 21.54
1683557645850329 80.00 0.00 0.00 0.00 90.06 -12.69 86.92 -12.44 -85.77 17.65 -115.51 20.86
1683557645866146 80.00 0.00 0.00 0.00 91.53 -12.75 88.20 -12.61 -80.17 10.57 -111.47 19.45
1683557645882745 80.00 0.00 0.00 0.00 92.89 -10.44 88.92 -12.40 -77.12 10.17 -107.42 18.06
1683557645899117 80.00 0.00 0.00 0.00 94.46 -11.69 90.21 -12.34 -43.75 -12.56 -97.56 13.89
1683557645914895 80.00 0.00 0.00 0.00 92.96 -11.63 90.93 -12.25 -81.97 -3.99 -94.98 11.00
1683557645931380 80.00 0.00 0.00 0.00 94.39 -10.50 91.66 -12.05 -43.83 -5.27 -84.59 6.83
1683557645947897 80.00 0.00 0.00 0.00 93.02 -12.82 92.10 -12.07 -43.80 -12.45 -77.58 3.80
1683557645963687 80.00 0.00 0.00 0.00 93.02 -12.82 92.25 -12.07 -27.98 1.25 -68.37 2.74
1683557645980218 80.00 0.00 0.00 0.00 94.60 -14.08 92.85 -12.34 -9.00 0.41 -57.02 1.57
1683557645996533 80.00 0.00 0.00 0.00 94.46 -11.69 93.14 -12.11 -37.12 16.18 -53.05 2.20
1683557646011473 80.00 0.00 0.00 0.00 94.60 -14.08 93.59 -12.25 -19.12 -15.03 -46.39 -1.07
1683557646027994 80.00 0.00 0.00 0.00 95.98 -11.76 94.04 -12.15 -27.46 8.46 -41.12 -1.28
1683557646044456 80.00 0.00 0.00 0.00 92.96 -11.63 94.04 -12.27 -26.99 -6.02 -36.10 -2.90
1683557646060339 80.00 0.00 0.00 0.00 90.00 -11.51 93.60 -12.25 -0.39 7.47 -31.77 -0.90
1683557646076671 80.00 0.00 0.00 0.00 92.84 -9.26 93.59 -12.02 27.31 -1.16 -20.84 -0.62
1683557646093192 80.00 0.00 0.00 0.00 92.96 -11.63 93.44 -12.13 0.72 -14.36 -16.38 -1.52
1683557646108940 80.00 0.00 0.00 0.00 92.96 -11.63 93.43 -12.01 9.14 7.15 -11.09 0.44
1683557646125360 80.00 0.00 0.00 0.00 89.94 -10.33 93.13 -11.76 0.40 -7.24 -8.25 -0.41
1683557646141927 80.00 0.00 0.00 0.00 87.10 -11.39 92.38 -11.49 18.61 -15.05 -5.49 -1.96
1683557646158780 80.00 0.00 0.00 0.00 89.94 -10.33 91.93 -11.35 44.49 -16.01 2.67 -5.18
1683557646174127 80.00 0.00 0.00 0.00 86.99 -9.05 91.16 -10.85 29.45 -8.92 7.53 -4.57
1683557646190651 80.00 0.00 0.00 0.00 85.62 -10.16 90.13 -10.69 46.03 -30.49 14.88 -8.46
1683557646206655 80.00 0.00 0.00 0.00 85.57 -9.00 89.39 -10.43 64.73 -9.99 24.05 -8.86
1683557646223291 80.00 0.00 0.00 0.00 85.67 -11.33 88.96 -10.41 44.41 -15.83 28.53 -11.19
1683557646239136 80.00 0.00 0.00 0.00 84.11 -7.79 88.08 -10.26 27.30 -1.11 28.53 -11.19
1683557646255516 80.00 0.00 0.00 0.00 82.76 -8.90 87.06 -9.99 53.28 -8.97 33.78 -10.65
1683557646271334 80.00 0.00 0.00 0.00 82.76 -8.90 86.04 -9.72 64.47 -17.25 39.32 -13.09
1683557646288099 80.00 0.00 0.00 0.00 81.37 -8.85 85.19 -9.57 60.83 -16.28 45.36 -13.99
1683557646304626 80.00 0.00 0.00 0.00 80.05 -9.96 84.48 -9.43 51.84 -8.91 48.68 -13.38
1683557646320454 80.00 0.00 0.00 0.00 78.56 -6.47 83.34 -9.04 44.57 -9.01 48.69 -12.68
1683557646338411 80.00 0.00 0.00 0.00 79.96 -7.66 82.64 -8.90 63.38 -21.45 52.08 -13.93
1683557646353100 80.00 0.00 0.00 0.00 77.21 -6.44 81.80 -8.53 47.90 -9.44 52.27 -11.82
1683557646369629 80.00 0.00 0.00 0.00 75.91 -7.54 80.83 -8.38 50.86 -22.53 50.88 -13.08
1683557646385413 80.00 0.00 0.00 0.00 75.91 -7.54 79.86 -8.01 61.17 -9.22 52.56 -12.42
1683557646401880 80.00 0.00 0.00 0.00 75.84 -5.27 79.03 -7.75 59.27 -23.01 55.76 -14.61
