#Task Selector: 5
#PID Parameters: kp: 0.02, kd: 0.00, ki: 0.00
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
16 80.00 0.00 0.00 0.00 19.15 -19.33 1.92 -1.93 0.00 0.00 0.00 0.00
1683558284314030 80.00 0.00 0.00 0.00 20.23 -19.34 3.94 -3.87 -112.51 113.52 -11.25 11.35
1683558284329796 80.00 0.00 0.00 0.00 21.30 -19.36 6.07 -5.80 -128.28 122.67 -24.08 23.62
1683558284346559 80.00 0.00 0.00 0.00 19.09 -13.95 7.98 -7.20 -127.06 115.48 -36.79 35.17
1683558284362271 80.00 0.00 0.00 0.00 20.15 -13.97 9.99 -8.59 -121.47 88.81 -48.93 44.05
1683558284378913 80.00 0.00 0.00 0.00 22.34 -17.21 12.23 -10.32 -121.10 83.92 -61.04 52.44
1683558284395560 80.00 0.00 0.00 0.00 18.07 -18.23 14.03 -12.14 -134.20 103.41 -74.46 62.78
1683558284411404 80.00 0.00 0.00 0.00 19.10 -15.02 15.94 -13.64 -114.05 115.07 -85.87 74.29
1683558284427997 80.00 0.00 0.00 0.00 16.94 -11.80 17.64 -14.82 -115.10 90.54 -97.38 83.34
1683558284443987 80.00 0.00 0.00 0.00 20.23 -19.34 19.66 -16.76 -105.91 73.79 -107.97 90.72
1683558284460611 80.00 0.00 0.00 0.00 23.38 -15.08 20.08 -16.33 -121.67 116.35 -120.14 102.36
1683558284476572 80.00 0.00 0.00 0.00 23.43 -18.31 20.40 -16.23 -26.50 -26.60 -111.53 88.34
1683558284492530 80.00 0.00 0.00 0.00 22.29 -13.99 20.50 -15.69 -20.10 -6.45 -100.72 75.43
1683558284509224 80.00 0.00 0.00 0.00 22.41 -21.55 20.83 -16.45 -5.96 -32.14 -88.61 60.67
1683558284525288 80.00 0.00 0.00 0.00 23.43 -18.31 21.16 -16.88 -20.71 47.26 -78.53 56.52
1683558284541899 80.00 0.00 0.00 0.00 21.25 -16.12 21.05 -16.78 -19.75 26.16 -68.39 50.74
1683558284557714 80.00 0.00 0.00 0.00 21.27 -17.20 21.37 -16.67 6.89 -6.90 -54.29 39.71
1683558284573807 80.00 0.00 0.00 0.00 24.49 -17.25 21.91 -16.90 -19.86 -6.42 -44.87 27.56
1683558284591614 80.00 0.00 0.00 0.00 23.49 -21.57 22.57 -17.87 -30.30 12.50 -36.39 19.76
1683558284606452 80.00 0.00 0.00 0.00 23.43 -18.31 22.89 -17.77 -44.18 65.82 -30.21 18.96
1683558284623105 80.00 0.00 0.00 0.00 21.21 -12.91 22.67 -17.55 -19.27 -6.18 -19.97 6.71
1683558284639042 80.00 0.00 0.00 0.00 21.28 -18.28 22.46 -17.55 13.64 -13.62 -15.96 8.00
1683558284655715 80.00 0.00 0.00 0.00 23.42 -17.23 22.57 -17.87 12.90 -0.21 -12.66 8.63
1683558284671647 80.00 0.00 0.00 0.00 25.48 -10.83 22.88 -16.80 -7.04 20.33 -12.77 13.87
