#Task Selector: 5
#PID Parameters: kp: 0.02, kd: 0.00, ki: 0.00
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
16 80.00 0.00 0.00 0.00 19.19 -21.49 1.92 -2.15 0.00 0.00 0.00 0.00
1683558422573423 80.00 0.00 0.00 0.00 18.15 -23.65 3.73 -4.51 -114.04 127.75 -11.40 12.77
1683558422589192 80.00 0.00 0.00 0.00 18.15 -23.65 5.55 -6.88 -115.08 149.99 -22.91 27.77
1683558422610601 80.00 0.00 0.00 0.00 20.33 -25.88 7.58 -9.47 -84.76 110.47 -31.39 38.82
1683558422623328 80.00 0.00 0.00 0.00 17.11 -25.82 9.29 -12.05 -159.78 203.34 -47.37 59.15
1683558422638862 80.00 0.00 0.00 0.00 18.11 -21.48 11.10 -14.20 -110.13 166.23 -58.38 75.78
1683558422654560 80.00 0.00 0.00 0.00 17.06 -22.55 12.81 -16.45 -115.39 136.80 -69.92 89.46
1683558422674624 80.00 0.00 0.00 0.00 19.20 -22.58 14.73 -18.71 -85.03 112.37 -78.42 100.69
1683558422687127 80.00 0.00 0.00 0.00 18.13 -22.56 16.54 -20.97 -153.58 180.58 -93.78 118.75
1683558422703623 80.00 0.00 0.00 0.00 18.13 -22.56 18.36 -23.22 -109.91 136.77 -104.77 132.43
1683558422719725 80.00 0.00 0.00 0.00 18.11 -21.48 18.25 -23.22 -112.60 140.12 -116.03 146.44
1683558422735631 80.00 0.00 0.00 0.00 21.44 -27.00 18.58 -23.56 6.74 -0.10 -103.95 133.66
1683558422752514 80.00 0.00 0.00 0.00 17.04 -21.46 18.47 -23.34 -19.49 19.84 -94.39 120.64
1683558422768314 80.00 0.00 0.00 0.00 19.19 -21.49 18.35 -22.90 6.98 -13.87 -85.22 108.21
1683558422784503 80.00 0.00 0.00 0.00 20.30 -23.69 18.67 -22.68 7.10 -27.10 -68.53 85.16
1683558422801088 80.00 0.00 0.00 0.00 20.28 -22.60 18.89 -22.80 -19.22 -12.87 -59.44 67.25
1683558422816955 80.00 0.00 0.00 0.00 21.37 -23.71 19.32 -22.91 -13.63 7.07 -49.26 54.28
1683558422838778 80.00 0.00 0.00 0.00 20.38 -28.08 19.44 -23.46 -19.77 5.32 -42.74 43.58
1683558422850282 80.00 0.00 0.00 0.00 23.60 -27.05 19.98 -23.91 -10.21 47.85 -28.40 30.30
1683558422865577 80.00 0.00 0.00 0.00 22.36 -18.29 20.41 -23.48 -35.79 29.33 -20.99 19.56
1683558422882825 80.00 0.00 0.00 0.00 24.55 -20.50 21.05 -23.39 -24.50 -24.75 -12.18 3.07
1683558422898265 80.00 0.00 0.00 0.00 23.45 -19.39 21.25 -22.63 -41.70 -6.33 -17.02 2.45
1683558422914849 80.00 0.00 0.00 0.00 27.91 -24.95 22.34 -22.97 -12.15 -45.87 -16.29 -4.12
1683558422931059 80.00 0.00 0.00 0.00 26.77 -22.72 23.10 -23.10 -67.05 21.51 -23.69 -0.58
1683558422950897 80.00 0.00 0.00 0.00 31.09 -20.64 24.18 -22.79 -38.23 6.22 -28.22 2.75
1683558422963505 80.00 0.00 0.00 0.00 28.93 -21.68 25.04 -22.70 -85.65 -24.17 -34.87 1.62
1683558422979515 80.00 0.00 0.00 0.00 31.18 -23.93 26.02 -22.72 -54.03 -5.72 -38.91 0.34
1683558422996388 80.00 0.00 0.00 0.00 30.05 -22.80 26.99 -22.20 -58.12 1.33 -42.74 -0.06
1683558423011348 80.00 0.00 0.00 0.00 36.63 -20.79 28.29 -21.57 -64.65 -35.30 -48.19 -8.37
1683558423027571 80.00 0.00 0.00 0.00 32.28 -23.96 29.29 -22.14 -80.31 -38.61 -52.64 -15.17
1683558423044116 80.00 0.00 0.00 0.00 34.50 -24.03 30.28 -22.49 -60.00 34.26 -56.19 -9.27
1683558423060209 80.00 0.00 0.00 0.00 37.75 -20.82 31.71 -22.63 -61.82 21.93 -58.20 -6.44
1683558423075946 80.00 0.00 0.00 0.00 37.86 -24.13 32.70 -22.55 -90.87 9.05 -66.07 -0.95
1683558423094844 80.00 0.00 0.00 0.00 41.03 -17.62 34.13 -22.04 -52.62 -4.31 -64.63 -3.53
1683558423108875 80.00 0.00 0.00 0.00 42.31 -22.07 35.25 -22.18 -101.65 -36.38 -70.97 -7.79
1683558423126058 80.00 0.00 0.00 0.00 44.52 -19.93 36.81 -22.01 -65.26 8.30 -68.93 -4.54
1683558423141415 80.00 0.00 0.00 0.00 44.52 -19.93 38.14 -21.61 -101.51 -11.42 -73.68 -5.11
1683558423157285 80.00 0.00 0.00 0.00 42.27 -20.96 39.37 -21.42 -84.04 -25.23 -76.27 -7.77
