#Task Selector: 5
#PID Parameters: kp: 0.06, kd: 0.03, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684258153473470 0.00 0.00 0.00 0.00 13.22 13.98 1.65 1.75 0.00 0.00 0.00 0.00
1684258153473471 0.00 0.00 0.00 0.00 13.22 13.98 3.30 3.49 -93.29 -98.64 -11.66 -12.33
1684258153489590 0.00 0.00 0.00 0.00 13.22 15.22 4.96 5.40 -102.51 -108.39 -24.48 -25.88
1684258153508078 0.00 0.00 0.00 0.00 13.22 15.22 6.61 7.30 -89.37 -102.93 -35.65 -38.74
1684258153521875 0.00 0.00 0.00 0.00 11.97 13.98 8.11 9.05 -119.75 -137.92 -50.62 -55.98
1684258153538749 0.00 0.00 0.00 0.00 13.22 13.98 9.76 10.79 -88.69 -103.55 -61.70 -68.93
1684258153553666 0.00 0.00 0.00 0.00 13.22 13.98 11.41 12.54 -110.77 -117.12 -75.55 -83.57
1684258153571630 0.00 0.00 0.00 0.00 11.97 15.22 12.91 14.44 -91.99 -97.26 -87.05 -95.73
1684258153586832 0.00 0.00 0.00 0.00 13.22 13.98 12.91 14.44 -98.44 -125.18 -99.35 -111.37
1684258153603255 0.00 0.00 0.00 0.00 14.47 13.98 13.06 14.44 0.00 -0.00 -87.69 -99.04
1684258153619166 0.00 0.00 0.00 0.00 13.22 12.73 13.06 14.13 -9.80 0.01 -76.10 -85.49
1684258153636023 0.00 0.00 0.00 0.00 13.22 12.73 13.06 13.82 -0.02 18.48 -64.93 -70.32
1684258153652738 0.00 0.00 0.00 0.00 13.22 13.98 13.22 13.82 -0.02 18.63 -49.97 -50.75
1684258153676990 0.00 0.00 0.00 0.00 11.97 12.73 13.06 13.67 -6.43 0.01 -39.68 -37.80
1684258153689139 0.00 0.00 0.00 0.00 13.22 10.24 13.06 13.20 12.81 12.81 -24.23 -21.56
1684258153700986 0.00 0.00 0.00 0.00 10.73 8.99 12.91 12.42 -0.05 39.47 -12.74 -4.47
1684258153717350 0.00 0.00 0.00 0.00 10.73 8.99 12.60 11.80 9.47 47.60 0.75 17.13
1684258153732529 0.00 0.00 0.00 0.00 11.98 6.49 12.29 10.86 20.48 41.05 3.31 22.26
1684258153750158 0.00 0.00 0.00 0.00 9.49 6.50 11.82 10.08 17.61 53.07 6.73 28.89
1684258153765663 0.00 0.00 0.00 0.00 9.49 6.50 11.35 9.30 30.09 50.27 10.50 32.86
1684258153782251 0.00 0.00 0.00 0.00 7.00 5.25 10.58 8.21 28.12 46.99 14.01 36.41
1684258153800645 0.00 0.00 0.00 0.00 7.00 5.25 9.96 7.27 42.29 59.32 20.10 43.82
1684258153814117 0.00 0.00 0.00 0.00 7.00 2.74 9.18 6.34 46.18 69.45 24.27 50.90
1684258153831383 0.00 0.00 0.00 0.00 7.00 2.74 8.71 5.56 45.07 54.25 29.91 52.75
1684258153847249 0.00 0.00 0.00 0.00 5.75 1.49 8.09 4.62 29.41 49.23 32.41 52.95
1684258153862833 0.00 0.00 0.00 0.00 7.00 0.23 7.47 3.84 39.94 60.17 34.84 55.34
1684258153880364 0.00 0.00 0.00 0.00 5.75 -1.02 7.00 2.90 35.52 44.62 37.08 54.29
1684258153895540 0.00 0.00 0.00 0.00 7.00 -2.28 6.69 1.80 30.76 61.92 37.16 55.74
1684258153911627 0.00 0.00 0.00 0.00 5.75 -1.02 6.53 1.02 19.31 68.19 36.06 58.39
1684258153928885 0.00 0.00 0.00 0.00 7.00 -2.28 6.53 0.08 9.00 45.41 31.90 56.65
1684258153944682 0.00 0.00 0.00 0.00 7.00 -2.28 6.53 -0.55 -0.05 59.57 26.12 55.42
1684258153962199 0.00 0.00 0.00 0.00 7.00 -2.28 6.53 -1.18 -0.03 35.85 20.48 53.12
1684258153979341 0.00 0.00 0.00 0.00 8.25 -3.54 6.85 -1.81 -0.03 36.63 16.80 51.54
1684258153992790 0.00 0.00 0.00 0.00 9.51 -4.80 7.16 -2.44 -23.26 46.76 8.90 49.87
1684258154008913 0.00 0.00 0.00 0.00 9.51 -4.80 7.63 -2.91 -19.43 39.05 2.03 49.17
1684258154024981 0.00 0.00 0.00 0.00 9.51 -4.80 7.94 -3.23 -29.20 29.42 -5.46 45.11
1684258154040664 0.00 0.00 0.00 0.00 12.01 -3.55 8.72 -3.54 -19.96 20.11 -10.37 39.10
1684258154057109 0.00 0.00 0.00 0.00 12.01 -4.81 9.35 -3.86 -47.53 19.21 -17.44 35.83
1684258154074423 0.00 0.00 0.00 0.00 12.01 -6.07 9.98 -4.33 -36.14 18.26 -21.95 30.66
1684258154089616 0.00 0.00 0.00 0.00 13.26 -4.81 10.76 -4.65 -41.22 31.19 -27.10 30.08
1684258154106085 0.00 0.00 0.00 0.00 15.77 -4.82 11.70 -4.81 -47.50 19.22 -33.03 27.90
1684258154122686 0.00 0.00 0.00 0.00 15.77 -4.82 12.48 -4.81 -56.57 9.64 -37.19 23.26
1684258154141146 0.00 0.00 0.00 0.00 17.02 -4.83 13.42 -4.81 -42.39 0.12 -40.06 18.40
1684258154155137 0.00 0.00 0.00 0.00 18.28 -4.83 14.52 -4.82 -67.14 0.20 -44.80 14.74
1684258154170860 0.00 0.00 0.00 0.00 22.04 -4.85 15.77 -4.98 -69.71 0.22 -51.02 12.26
1684258154187153 0.00 0.00 0.00 0.00 18.28 -4.83 16.55 -4.98 -77.01 9.98 -54.71 11.10
1684258154203208 0.00 0.00 0.00 0.00 22.04 -4.85 17.81 -4.83 -48.79 0.17 -56.29 8.84
1684258154220617 0.00 0.00 0.00 0.00 22.04 -3.59 18.90 -4.68 -72.03 -8.77 -60.14 3.85
1684258154236465 0.00 0.00 0.00 0.00 23.30 -4.86 19.85 -4.68 -69.23 -9.66 -62.86 0.24
1684258154252999 0.00 0.00 0.00 0.00 23.29 -3.59 20.79 -4.53 -56.96 0.26 -62.91 -0.93
1684258154268712 0.00 0.00 0.00 0.00 24.56 -4.86 21.73 -4.53 -59.89 -9.76 -65.09 -2.17
1684258154284805 0.00 0.00 0.00 0.00 27.07 -3.61 22.83 -4.38 -58.55 0.28 -64.02 -2.16
1684258154300669 0.00 0.00 0.00 0.00 25.81 -3.61 23.30 -4.23 -69.31 -9.59 -63.97 -3.39
1684258154317327 0.00 0.00 0.00 0.00 25.81 -3.61 24.24 -4.07 -28.28 -9.31 -57.88 -5.80
1684258154333082 0.00 0.00 0.00 0.00 29.59 -3.63 25.19 -3.92 -59.79 -9.71 -59.25 -7.03
1684258154350965 0.00 0.00 0.00 0.00 29.59 -2.37 26.13 -3.77 -52.77 -8.54 -56.85 -7.00
1684258154366153 0.00 0.00 0.00 0.00 28.32 -1.10 26.76 -3.30 -62.13 -10.05 -55.96 -7.05
1684258154382108 0.00 0.00 0.00 0.00 29.57 0.15 27.54 -2.83 -39.31 -29.41 -53.75 -10.76
1684258154398611 0.00 0.00 0.00 0.00 30.84 -1.11 28.33 -2.36 -47.56 -28.37 -52.21 -13.09
1684258154415899 0.00 0.00 0.00 0.00 29.57 0.15 28.64 -1.89 -45.43 -27.09 -50.57 -16.51
1684258154430623 0.00 0.00 0.00 0.00 30.84 0.14 29.27 -1.42 -21.24 -31.96 -44.56 -19.30
1684258154447315 0.00 0.00 0.00 0.00 30.84 0.14 29.89 -0.95 -37.62 -28.10 -45.73 -21.65
