#Task Selector: 5
#PID Parameters: kp: 0.09, kd: 0.03, ki: 0.04
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684250410776666 0.00 0.00 0.00 0.00 25.73 17.71 3.22 2.21 0.00 0.00 0.00 0.00
1684250410776667 0.00 0.00 0.00 0.00 26.99 16.45 6.59 4.27 -186.39 -128.23 -23.30 -16.03
1684250410794133 0.00 0.00 0.00 0.00 30.78 16.45 10.44 6.33 -193.19 -117.76 -47.45 -30.75
1684250410809055 0.00 0.00 0.00 0.00 29.52 16.45 14.13 8.38 -257.84 -137.81 -79.68 -47.98
1684250410825778 0.00 0.00 0.00 0.00 32.04 17.70 18.13 10.60 -220.62 -122.97 -107.25 -63.35
1684250410841529 0.00 0.00 0.00 0.00 35.84 16.44 22.61 12.65 -254.27 -140.47 -139.04 -80.91
1684250410859441 0.00 0.00 0.00 0.00 37.12 8.91 27.25 13.77 -250.10 -114.76 -170.30 -95.25
1684250410874282 0.00 0.00 0.00 0.00 39.64 16.44 32.21 15.82 -312.65 -75.09 -209.38 -104.64
1684250410890678 0.00 0.00 0.00 0.00 42.17 15.18 34.26 15.50 -302.19 -125.33 -247.15 -120.30
1684250410908352 0.00 0.00 0.00 0.00 44.71 15.18 36.48 15.35 -116.27 17.85 -238.39 -102.04
1684250410924019 0.00 0.00 0.00 0.00 44.71 13.92 38.22 15.03 -141.31 10.18 -231.91 -86.05
1684250410939600 0.00 0.00 0.00 0.00 44.71 13.92 40.12 14.71 -111.75 20.27 -213.64 -66.29
1684250410955749 0.00 0.00 0.00 0.00 44.71 12.67 41.70 14.08 -117.59 19.57 -200.77 -48.47
1684250410971641 0.00 0.00 0.00 0.00 42.18 12.67 42.49 13.61 -99.75 39.63 -181.45 -25.96
1684250410987686 0.00 0.00 0.00 0.00 47.24 11.41 43.76 13.92 -49.40 29.40 -156.36 -7.94
1684250411002895 0.00 0.00 0.00 0.00 45.98 10.15 44.55 13.14 -83.15 -20.48 -127.68 -1.11
1684250411019347 0.00 0.00 0.00 0.00 44.72 7.64 44.87 12.19 -48.15 47.78 -95.92 20.53
1684250411035543 0.00 0.00 0.00 0.00 45.98 6.38 45.03 11.10 -19.62 58.21 -83.84 25.57
1684250411052142 0.00 0.00 0.00 0.00 43.45 6.38 44.87 10.15 -9.59 66.26 -67.38 32.58
1684250411068413 0.00 0.00 0.00 0.00 43.46 3.87 44.71 8.90 9.62 57.92 -52.20 37.29
1684250411084464 0.00 0.00 0.00 0.00 44.72 2.61 44.72 7.64 9.71 78.29 -36.29 44.63
1684250411101149 0.00 0.00 0.00 0.00 42.21 0.10 44.72 6.07 -0.11 75.34 -23.84 49.09
1684250411117692 0.00 0.00 0.00 0.00 39.68 -1.15 43.77 4.50 -0.21 94.99 -17.69 57.29
1684250411134307 0.00 0.00 0.00 0.00 39.69 -2.41 42.99 2.93 56.82 94.49 -0.19 71.66
1684250411149641 0.00 0.00 0.00 0.00 37.17 -3.66 42.05 1.51 51.25 102.41 12.23 78.49
1684250411166379 0.00 0.00 0.00 0.00 35.91 -6.18 40.79 -0.06 56.37 84.40 21.73 81.76
