#Task Selector: 5
#PID Parameters: kp: 0.06, kd: 0.04, ki: 0.03
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684257994286448 0.00 0.00 0.00 0.00 3.26 11.49 0.41 1.44 0.00 0.00 0.00 0.00
1684257994286450 0.00 0.00 0.00 0.00 4.50 7.75 0.97 2.40 -22.60 -79.69 -2.83 -9.96
1684257994299373 0.00 0.00 0.00 0.00 2.01 7.75 1.22 3.37 -43.57 -74.95 -8.27 -19.33
1684257994316248 0.00 0.00 0.00 0.00 3.26 9.00 1.63 4.50 -14.91 -57.39 -10.14 -26.51
1684257994333541 0.00 0.00 0.00 0.00 2.01 7.75 1.88 5.47 -23.55 -65.03 -13.08 -34.63
1684257994347553 0.00 0.00 0.00 0.00 2.01 7.75 2.13 6.43 -17.96 -69.12 -15.32 -43.27
1684257994363070 0.00 0.00 0.00 0.00 2.01 10.24 2.38 7.72 -16.22 -62.42 -17.35 -51.08
1684257994382145 0.00 0.00 0.00 0.00 3.26 7.75 2.79 8.68 -13.20 -67.13 -19.00 -59.47
1684257994395144 0.00 0.00 0.00 0.00 3.26 7.75 2.79 8.22 -31.34 -74.52 -22.92 -68.78
1684257994411384 0.00 0.00 0.00 0.00 0.77 10.24 2.32 8.53 0.00 28.80 -20.09 -55.22
1684257994427905 0.00 0.00 0.00 0.00 2.01 7.75 2.32 8.53 28.26 -18.88 -11.11 -48.21
1684257994443673 0.00 0.00 0.00 0.00 2.01 10.24 2.17 8.68 -0.00 0.00 -9.25 -41.04
1684257994460658 0.00 0.00 0.00 0.00 3.26 7.75 2.32 8.68 9.16 -9.18 -5.16 -34.05
1684257994476558 0.00 0.00 0.00 0.00 2.01 6.50 2.32 8.53 -9.79 -0.00 -4.14 -25.41
1684257994492968 0.00 0.00 0.00 0.00 0.77 6.50 2.17 8.06 0.00 9.52 -2.11 -16.42
1684257994509936 0.00 0.00 0.00 0.00 3.26 6.50 2.17 7.90 9.19 27.60 0.69 -4.58
1684257994525091 0.00 0.00 0.00 0.00 2.01 7.75 2.01 7.90 0.00 10.31 4.60 6.02
1684257994550206 0.00 0.00 0.00 0.00 2.01 7.75 2.17 7.59 6.20 0.00 5.38 2.42
1684257994562752 0.00 0.00 0.00 0.00 0.77 6.50 2.01 7.44 -12.39 24.86 0.30 7.89
1684257994574919 0.00 0.00 0.00 0.00 2.01 5.25 2.01 6.81 12.81 12.84 1.90 9.49
1684257994590526 0.00 0.00 0.00 0.00 2.01 7.75 1.86 6.81 0.02 40.01 0.75 15.64
1684257994608059 0.00 0.00 0.00 0.00 2.01 6.50 1.86 6.81 8.88 0.00 3.09 15.64
1684257994622288 0.00 0.00 0.00 0.00 4.50 5.25 2.32 6.65 0.00 0.00 3.09 14.45
1684257994638862 0.00 0.00 0.00 0.00 2.01 5.25 2.17 6.50 -28.19 9.42 -1.58 12.18
1684257994655878 0.00 0.00 0.00 0.00 2.01 4.00 2.17 6.03 9.16 9.19 -0.44 12.04
1684257994671751 0.00 0.00 0.00 0.00 3.26 5.25 2.32 5.72 0.01 29.54 -1.21 15.73
1684257994687994 0.00 0.00 0.00 0.00 4.50 4.00 2.79 5.40 -9.58 19.23 -0.86 15.03
1684257994704300 0.00 0.00 0.00 0.00 3.26 5.25 2.95 5.40 -28.66 19.17 -6.04 15.82
1684257994720513 0.00 0.00 0.00 0.00 4.50 4.00 3.26 4.94 -9.61 -0.00 -7.25 10.82
1684257994736586 0.00 0.00 0.00 0.00 5.75 7.75 3.73 5.09 -19.38 29.17 -10.78 14.47
1684257994752794 0.00 0.00 0.00 0.00 4.50 5.25 3.73 5.09 -28.82 -9.64 -14.38 13.26
1684257994774749 0.00 0.00 0.00 0.00 5.75 5.25 4.19 5.09 0.00 0.00 -10.86 12.08
1684257994788734 0.00 0.00 0.00 0.00 7.00 6.50 4.82 5.40 -33.42 -0.00 -16.18 10.93
1684257994801849 0.00 0.00 0.00 0.00 6.99 7.75 5.28 5.72 -47.51 -23.84 -22.12 4.26
1684257994818398 0.00 0.00 0.00 0.00 6.99 7.75 5.59 6.19 -28.23 -18.87 -24.45 -0.50
1684257994834534 0.00 0.00 0.00 0.00 8.24 7.75 6.22 6.50 -19.29 -29.05 -23.28 -6.53
1684257994858970 0.00 0.00 0.00 0.00 8.24 8.99 6.68 7.12 -25.49 -12.78 -25.27 -8.13
1684257994871081 0.00 0.00 0.00 0.00 6.99 9.00 6.84 7.28 -38.55 -51.58 -27.66 -18.22
1684257994882807 0.00 0.00 0.00 0.00 9.49 7.75 7.46 7.59 -13.27 -13.30 -25.72 -18.68
1684257994899911 0.00 0.00 0.00 0.00 11.98 7.74 8.24 7.90 -36.42 -18.24 -30.27 -20.96
1684257994916666 0.00 0.00 0.00 0.00 10.74 6.49 8.71 7.90 -46.48 -18.60 -31.90 -23.28
1684257994932398 0.00 0.00 0.00 0.00 11.98 6.49 9.33 7.74 -29.72 0.03 -29.68 -20.30
1684257994947673 0.00 0.00 0.00 0.00 13.23 6.49 10.11 7.59 -40.82 10.28 -31.25 -16.66
1684257994964984 0.00 0.00 0.00 0.00 13.23 6.49 10.74 7.43 -45.03 9.09 -34.47 -11.89
1684257994980488 0.00 0.00 0.00 0.00 16.98 5.23 11.83 6.96 -40.23 10.14 -36.31 -9.02
1684257994996894 0.00 0.00 0.00 0.00 15.74 2.73 12.92 6.18 -66.63 28.70 -39.82 1.01
1684257995012249 0.00 0.00 0.00 0.00 18.24 2.72 14.02 5.55 -71.21 51.05 -47.07 9.06
1684257995029713 0.00 0.00 0.00 0.00 15.74 2.73 14.49 4.92 -62.69 35.99 -50.35 15.84
1684257995044966 0.00 0.00 0.00 0.00 19.50 1.46 15.58 4.29 -30.82 41.11 -48.39 23.30
1684257995061400 0.00 0.00 0.00 0.00 20.76 0.19 16.68 3.50 -66.69 38.32 -53.01 28.08
1684257995076641 0.00 0.00 0.00 0.00 20.77 -1.06 17.62 2.56 -72.01 51.65 -56.91 33.26
1684257995093118 0.00 0.00 0.00 0.00 22.02 -1.07 18.72 1.61 -57.19 57.30 -58.43 39.28
1684257995110479 0.00 0.00 0.00 0.00 23.29 -3.59 19.51 0.51 -63.32 54.42 -61.32 44.82
1684257995126911 0.00 0.00 0.00 0.00 23.29 -3.59 20.45 -0.28 -48.01 67.11 -58.99 49.62
