#Task Selector: 6
#PID Parameters: kp: 0.08, kd: 0.04, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684256217314722 0.00 0.00 0.00 0.00 4.50 4.00 0.56 0.50 0.00 0.00 0.00 0.00
1684256217314722 0.00 0.00 0.00 0.00 7.00 4.00 1.44 1.00 -31.75 -28.18 -3.97 -3.52
1684256217333125 0.00 0.00 0.00 0.00 5.75 4.00 2.16 1.50 -47.53 -27.14 -9.91 -6.91
1684256217346727 0.00 0.00 0.00 0.00 7.00 4.00 3.03 2.00 -52.85 -36.73 -16.52 -11.51
1684256217366952 0.00 0.00 0.00 0.00 7.00 5.25 3.91 2.65 -43.25 -24.70 -21.92 -14.59
1684256217379287 0.00 0.00 0.00 0.00 4.50 4.00 4.47 3.15 -70.90 -53.18 -30.79 -21.24
1684256217395139 0.00 0.00 0.00 0.00 4.50 4.00 5.03 3.65 -35.52 -31.52 -35.23 -25.18
1684256217411384 0.00 0.00 0.00 0.00 4.50 5.25 5.59 4.31 -34.66 -30.76 -39.56 -29.03
1684256217427511 0.00 0.00 0.00 0.00 5.75 2.74 5.75 4.15 -34.91 -40.69 -43.92 -34.11
1684256217443333 0.00 0.00 0.00 0.00 4.50 5.25 5.44 4.31 -9.85 9.90 -41.18 -29.35
1684256217459724 0.00 0.00 0.00 0.00 7.00 4.00 5.60 4.31 19.02 -9.55 -32.87 -27.15
1684256217476151 0.00 0.00 0.00 0.00 5.75 4.00 5.44 4.31 -9.49 0.01 -27.45 -22.56
1684256217492877 0.00 0.00 0.00 0.00 5.75 4.00 5.28 4.15 9.32 -0.01 -20.88 -19.47
1684256217509299 0.00 0.00 0.00 0.00 5.75 4.00 5.44 4.15 9.48 9.52 -10.83 -11.64
1684256217524381 0.00 0.00 0.00 0.00 5.75 4.00 5.60 4.15 -10.33 0.00 -7.68 -7.70
1684256217541338 0.00 0.00 0.00 0.00 3.26 4.00 5.44 4.00 -9.19 0.00 -4.49 -3.85
1684256217557381 0.00 0.00 0.00 0.00 3.26 4.00 5.13 4.15 9.71 9.75 1.08 2.45
1684256217574953 0.00 0.00 0.00 0.00 4.50 4.00 5.13 4.00 17.74 -8.91 4.53 0.10
1684256217589643 0.00 0.00 0.00 0.00 3.26 2.74 4.66 3.84 -0.00 10.65 2.16 2.63
1684256217606719 0.00 0.00 0.00 0.00 3.26 4.00 4.35 3.84 27.38 9.16 6.76 3.77
1684256217622436 0.00 0.00 0.00 0.00 4.50 2.74 4.19 3.68 19.83 -0.00 8.08 3.77
1684256217641321 0.00 0.00 0.00 0.00 4.50 4.00 4.04 3.68 8.25 8.29 7.92 3.62
1684256217656118 0.00 0.00 0.00 0.00 7.00 4.00 4.19 3.68 10.53 -0.00 10.53 3.62
1684256217671725 0.00 0.00 0.00 0.00 5.75 2.74 4.50 3.53 -9.99 0.01 10.43 3.62
1684256217688096 0.00 0.00 0.00 0.00 5.75 1.49 4.82 3.21 -19.04 9.57 6.84 3.59
1684256217703803 0.00 0.00 0.00 0.00 7.00 1.49 5.13 2.90 -19.85 19.95 2.14 7.20
1684256217724988 0.00 0.00 0.00 0.00 7.00 1.49 5.60 2.74 -14.72 14.80 0.30 7.72
1684256217737015 0.00 0.00 0.00 0.00 7.00 0.23 6.06 2.27 -38.89 13.05 -7.99 8.21
1684256217756900 0.00 0.00 0.00 0.00 7.00 1.49 6.38 2.12 -23.53 23.66 -13.41 11.16
1684256217769086 0.00 0.00 0.00 0.00 8.25 0.23 6.84 1.65 -25.60 12.88 -17.64 11.74
1684256217787666 0.00 0.00 0.00 0.00 9.50 0.23 7.16 1.18 -25.20 25.33 -22.10 14.90
1684256217801751 0.00 0.00 0.00 0.00 7.00 -2.28 7.31 0.55 -22.19 33.42 -23.63 19.08
1684256217819236 0.00 0.00 0.00 0.00 9.50 -2.28 7.78 0.08 -8.95 35.93 -22.37 22.37
1684256217835334 0.00 0.00 0.00 0.00 12.00 -2.29 8.41 -0.40 -29.12 29.30 -23.53 23.54
1684256217850706 0.00 0.00 0.00 0.00 10.75 0.23 8.88 -0.55 -40.69 30.73 -26.77 25.53
1684256217868205 0.00 0.00 0.00 0.00 13.25 -2.29 9.66 -0.87 -26.77 9.01 -25.25 25.03
1684256217882229 0.00 0.00 0.00 0.00 13.25 -2.29 10.44 -1.34 -55.73 22.52 -29.28 24.89
1684256217898525 0.00 0.00 0.00 0.00 13.26 -3.55 11.06 -1.82 -47.98 29.01 -32.08 26.91
1684256217915839 0.00 0.00 0.00 0.00 14.51 -3.56 11.69 -2.29 -36.16 27.33 -33.45 27.16
1684256217931860 0.00 0.00 0.00 0.00 15.77 -4.82 12.79 -2.61 -39.10 29.55 -35.56 26.67
1684256217947681 0.00 0.00 0.00 0.00 15.77 -4.82 13.57 -2.92 -69.25 20.08 -43.10 24.69
1684256217964341 0.00 0.00 0.00 0.00 15.77 -4.82 14.04 -3.24 -47.01 19.04 -45.34 23.41
1684256217982136 0.00 0.00 0.00 0.00 15.77 -4.82 14.67 -3.87 -26.44 17.79 -43.55 21.79
1684256217996215 0.00 0.00 0.00 0.00 15.77 -4.82 14.98 -4.19 -44.57 44.83 -45.78 26.27
1684256218011577 0.00 0.00 0.00 0.00 17.02 -3.57 15.45 -4.35 -20.45 20.57 -41.37 26.02
1684256218030363 0.00 0.00 0.00 0.00 18.28 -4.83 16.08 -4.51 -25.03 8.47 -38.50 23.46
1684256218044923 0.00 0.00 0.00 0.00 18.28 -4.83 16.55 -4.67 -43.08 10.98 -39.37 21.41
1684256218060430 0.00 0.00 0.00 0.00 19.53 -4.84 17.02 -4.67 -30.36 10.28 -38.27 19.01
1684256218076788 0.00 0.00 0.00 0.00 18.28 -4.83 17.33 -4.67 -28.76 0.12 -33.21 16.51
1684256218092974 0.00 0.00 0.00 0.00 19.53 -4.84 17.80 -4.67 -19.37 0.08 -29.76 14.14
1684256218109983 0.00 0.00 0.00 0.00 19.53 -4.84 18.28 -4.67 -27.66 0.12 -29.91 11.93
