#Task Selector: 5
#PID Parameters: kp: 0.03, kd: 0.03, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684258789601242 0.00 0.00 0.00 0.00 5.75 4.00 0.72 0.50 0.00 0.00 0.00 0.00
1684258789601244 0.00 0.00 0.00 0.00 7.00 2.74 1.59 0.84 -43.43 -30.18 -5.43 -3.77
1684258789617689 0.00 0.00 0.00 0.00 5.75 2.74 2.31 1.19 -53.20 -20.85 -12.08 -6.38
1684258789633787 0.00 0.00 0.00 0.00 5.75 4.00 3.03 1.69 -44.66 -21.31 -17.66 -9.04
1684258789650053 0.00 0.00 0.00 0.00 5.75 2.74 3.75 2.03 -44.20 -30.72 -23.19 -12.88
1684258789665448 0.00 0.00 0.00 0.00 5.75 2.74 4.47 2.37 -46.70 -22.28 -29.02 -15.67
1684258789685749 0.00 0.00 0.00 0.00 7.00 4.00 5.34 2.87 -35.41 -16.90 -33.45 -17.78
1684258789698903 0.00 0.00 0.00 0.00 5.75 4.00 6.06 3.37 -66.50 -37.97 -41.76 -22.53
1684258789714609 0.00 0.00 0.00 0.00 5.75 2.74 6.06 3.21 -45.77 -31.81 -47.48 -26.50
1684258789730784 0.00 0.00 0.00 0.00 4.50 2.74 5.75 3.21 -0.00 9.68 -42.06 -21.52
1684258789748368 0.00 0.00 0.00 0.00 7.00 2.74 5.91 3.21 17.73 -0.01 -33.19 -18.92
1684258789763966 0.00 0.00 0.00 0.00 4.50 2.74 5.75 3.06 -10.00 0.01 -28.86 -16.25
1684258789779995 0.00 0.00 0.00 0.00 4.50 4.00 5.60 3.21 9.72 9.77 -22.12 -11.19
1684258789796102 0.00 0.00 0.00 0.00 3.26 2.74 5.28 3.21 9.68 -9.72 -15.07 -9.62
1684258789813330 0.00 0.00 0.00 0.00 4.50 2.74 4.97 3.06 18.10 -0.00 -8.38 -7.51
1684258789828581 0.00 0.00 0.00 0.00 3.26 2.74 4.66 2.90 20.44 10.26 2.49 -1.48
1684258789844830 0.00 0.00 0.00 0.00 4.50 2.74 4.50 2.90 19.18 9.63 10.61 3.70
1684258789862573 0.00 0.00 0.00 0.00 4.50 2.74 4.50 2.90 8.79 -0.00 11.70 2.49
1684258789877319 0.00 0.00 0.00 0.00 4.50 2.74 4.19 2.90 0.00 0.00 9.49 2.49
1684258789894333 0.00 0.00 0.00 0.00 5.75 2.74 4.35 2.90 18.32 -0.01 13.03 2.49
1684258789909854 0.00 0.00 0.00 0.00 3.26 2.74 4.19 2.74 -10.04 0.00 10.56 1.27
1684258789926315 0.00 0.00 0.00 0.00 5.75 2.74 4.50 2.74 9.47 9.51 10.53 3.67
