#Task Selector: 5
#PID Parameters: kp: 0.08, kd: 0.03, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684257410064006 0.00 0.00 0.00 0.00 -0.48 7.75 -0.06 0.97 0.00 0.00 0.00 0.00
1684257410064007 0.00 0.00 0.00 0.00 -1.72 7.74 -0.28 1.94 3.49 -56.46 0.44 -7.06
1684257410080106 0.00 0.00 0.00 0.00 -1.72 8.99 -0.49 3.06 13.39 -60.14 2.11 -14.57
1684257410096813 0.00 0.00 0.00 0.00 -0.48 8.99 -0.55 4.18 12.89 -67.29 3.72 -22.99
1684257410112482 0.00 0.00 0.00 0.00 -0.48 8.99 -0.61 5.31 3.81 -71.76 4.20 -31.95
1684257410128735 0.00 0.00 0.00 0.00 -1.72 10.24 -0.83 6.59 3.67 -69.18 4.66 -40.60
1684257410145128 0.00 0.00 0.00 0.00 -0.48 11.49 -0.88 8.03 13.13 -78.09 6.30 -50.36
1684257410162342 0.00 0.00 0.00 0.00 -0.47 12.74 -0.94 9.62 3.45 -83.43 6.73 -60.79
1684257410177336 0.00 0.00 0.00 0.00 -0.47 12.74 -0.94 10.24 3.96 -106.17 7.22 -74.06
1684257410194050 0.00 0.00 0.00 0.00 -0.47 15.23 -0.79 11.18 -0.03 -37.31 6.78 -71.67
1684257410210659 0.00 0.00 0.00 0.00 -0.48 11.49 -0.63 11.49 -9.42 -56.30 3.93 -71.19
1684257410227040 0.00 0.00 0.00 0.00 0.77 12.74 -0.48 11.96 -9.52 -19.04 1.13 -65.16
1684257410242699 0.00 0.00 0.00 0.00 0.77 13.98 -0.32 12.58 -9.96 -29.87 -0.59 -59.92
1684257410258857 0.00 0.00 0.00 0.00 0.77 15.23 -0.01 13.20 -9.66 -38.58 -2.26 -56.10
1684257410275100 0.00 0.00 0.00 0.00 2.02 13.98 0.30 13.51 -19.19 -38.36 -6.30 -51.13
1684257410291270 0.00 0.00 0.00 0.00 2.02 15.23 0.61 13.83 -19.25 -19.27 -9.13 -43.11
1684257410307526 0.00 0.00 0.00 0.00 3.26 12.74 1.08 13.83 -19.15 -19.16 -12.02 -32.24
1684257410324041 0.00 0.00 0.00 0.00 3.26 12.74 1.55 13.51 -28.26 -0.01 -15.55 -27.57
1684257410339796 0.00 0.00 0.00 0.00 4.50 12.74 2.17 13.67 -29.61 19.75 -18.07 -18.07
1684257410357371 0.00 0.00 0.00 0.00 5.75 10.24 2.79 13.36 -35.41 -8.87 -21.31 -16.80
1684257410372851 0.00 0.00 0.00 0.00 5.75 9.00 3.42 12.74 -40.20 20.12 -25.09 -10.55
1684257410388861 0.00 0.00 0.00 0.00 6.99 10.24 4.19 12.11 -38.87 38.92 -28.74 -0.86
1684257410404895 0.00 0.00 0.00 0.00 8.24 7.75 4.97 11.33 -48.51 38.84 -32.41 8.79
1684257410422878 0.00 0.00 0.00 0.00 8.24 6.50 5.75 10.24 -43.28 43.34 -35.41 16.62
1684257410437798 0.00 0.00 0.00 0.00 10.74 6.49 6.68 9.46 -52.17 73.14 -39.54 28.15
1684257410454116 0.00 0.00 0.00 0.00 11.99 5.24 7.77 8.52 -57.27 47.82 -43.16 34.13
1684257410470047 0.00 0.00 0.00 0.00 13.24 3.99 8.87 7.43 -68.47 58.82 -48.02 39.02
1684257410487043 0.00 0.00 0.00 0.00 11.99 2.74 9.65 6.49 -64.23 64.36 -51.62 48.17
1684257410502636 0.00 0.00 0.00 0.00 17.00 1.47 11.05 5.55 -50.04 60.19 -52.85 53.18
1684257410518593 0.00 0.00 0.00 0.00 18.25 0.21 12.46 4.30 -88.12 58.99 -59.01 55.69
1684257410535530 0.00 0.00 0.00 0.00 18.26 -1.05 13.71 3.20 -83.11 74.09 -63.34 60.09
1684257410551439 0.00 0.00 0.00 0.00 19.52 -2.32 15.12 2.09 -78.72 69.13 -67.77 63.32
1684257410567489 0.00 0.00 0.00 0.00 22.04 -3.59 16.53 0.83 -87.84 68.65 -72.23 62.76
1684257410584324 0.00 0.00 0.00 0.00 19.53 -4.84 17.48 -0.43 -83.92 74.86 -75.56 66.14
1684257410600367 0.00 0.00 0.00 0.00 23.30 -4.86 18.74 -1.53 -58.79 78.53 -74.35 68.60
1684257410616583 0.00 0.00 0.00 0.00 22.06 -7.37 19.99 -2.79 -77.58 68.16 -76.02 69.07
1684257410632629 0.00 0.00 0.00 0.00 23.32 -8.64 20.78 -4.06 -78.41 78.75 -79.56 71.39
1684257410650005 0.00 0.00 0.00 0.00 23.33 -9.91 21.42 -5.32 -45.49 72.72 -74.23 73.11
1684257410664919 0.00 0.00 0.00 0.00 27.10 -9.92 22.52 -6.43 -42.51 84.75 -69.16 74.44
1684257410683570 0.00 0.00 0.00 0.00 24.59 -11.18 23.16 -7.54 -59.27 59.46 -66.73 73.23
1684257410697471 0.00 0.00 0.00 0.00 27.11 -12.45 23.79 -8.65 -45.60 79.66 -61.45 74.61
1684257410714820 0.00 0.00 0.00 0.00 25.86 -13.71 24.58 -9.75 -36.58 63.85 -55.53 73.23
1684257410731374 0.00 0.00 0.00 0.00 25.86 -13.71 24.90 -10.86 -47.79 66.98 -54.16 71.79
1684257410746408 0.00 0.00 0.00 0.00 28.38 -13.72 25.69 -11.65 -21.28 73.60 -47.12 72.47
1684257410762478 0.00 0.00 0.00 0.00 25.86 -14.97 26.01 -12.44 -49.18 49.34 -43.46 68.80
1684257410778990 0.00 0.00 0.00 0.00 25.87 -16.23 26.33 -13.24 -19.26 47.91 -40.18 65.69
1684257410796738 0.00 0.00 0.00 0.00 25.86 -14.97 26.17 -13.87 -17.90 44.56 -37.11 60.67
