#Task Selector: 5
#PID Parameters: kp: 0.05, kd: 0.04, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684259171690067 0.00 0.00 0.00 0.00 4.50 5.25 0.56 0.66 0.00 0.00 0.00 0.00
1684259171690069 0.00 0.00 0.00 0.00 4.50 4.00 1.13 1.16 -26.73 -31.15 -3.34 -3.89
1684259171703159 0.00 0.00 0.00 0.00 4.50 4.00 1.69 1.66 -43.02 -38.17 -8.72 -8.67
1684259171722040 0.00 0.00 0.00 0.00 4.50 5.25 2.25 2.31 -29.82 -26.46 -12.45 -11.97
1684259171733897 0.00 0.00 0.00 0.00 4.50 1.49 2.82 2.50 -47.49 -55.34 -18.38 -18.89
1684259171749792 0.00 0.00 0.00 0.00 4.50 4.00 3.38 3.00 -35.43 -11.72 -22.81 -20.36
1684259171764538 0.00 0.00 0.00 0.00 4.50 2.74 3.94 3.34 -38.18 -33.89 -27.58 -24.59
1684259171784375 0.00 0.00 0.00 0.00 4.50 2.74 4.50 3.68 -28.38 -17.29 -31.13 -26.75
1684259171796880 0.00 0.00 0.00 0.00 5.75 1.49 4.66 3.21 -45.03 -27.44 -36.76 -30.18
1684259171814038 0.00 0.00 0.00 0.00 4.50 1.49 4.66 2.90 -9.09 27.38 -34.55 -22.87
1684259171829690 0.00 0.00 0.00 0.00 4.50 6.50 4.66 3.21 -0.00 20.02 -29.18 -15.59
1684259171848007 0.00 0.00 0.00 0.00 4.50 0.24 4.66 2.59 0.00 -17.07 -25.45 -14.42
1684259171862799 0.00 0.00 0.00 0.00 5.75 1.49 4.82 2.59 -0.01 42.36 -19.52 -2.21
1684259171878059 0.00 0.00 0.00 0.00 7.00 1.49 5.13 2.27 -10.22 0.00 -16.36 -0.74
1684259171894911 0.00 0.00 0.00 0.00 5.75 0.24 5.28 1.96 -18.51 18.60 -13.91 5.82
1684259171911688 0.00 0.00 0.00 0.00 5.75 4.00 5.44 2.12 -9.30 18.70 -11.52 10.32
1684259171927293 0.00 0.00 0.00 0.00 7.00 1.49 5.60 2.12 -9.98 -10.03 -7.14 12.50
1684259171943474 0.00 0.00 0.00 0.00 8.25 1.49 6.06 2.12 -9.64 0.01 -7.21 9.07
1684259171959592 0.00 0.00 0.00 0.00 8.24 3.99 6.53 1.80 -29.03 0.02 -10.84 6.57
1684259171977260 0.00 0.00 0.00 0.00 10.74 1.48 7.31 1.96 -26.46 17.72 -14.14 10.92
1684259171992124 0.00 0.00 0.00 0.00 8.24 5.25 7.62 2.43 -52.47 -10.50 -20.70 4.32
1684259172007701 0.00 0.00 0.00 0.00 9.49 2.74 7.93 2.58 -19.99 -30.14 -21.92 0.55
1684259172023598 0.00 0.00 0.00 0.00 10.74 3.99 8.56 3.05 -19.61 -9.84 -22.06 -3.01
1684259172040666 0.00 0.00 0.00 0.00 8.25 2.74 8.87 2.90 -36.52 -27.51 -25.46 -8.78
1684259172056443 0.00 0.00 0.00 0.00 10.74 2.74 9.34 3.05 -19.77 9.94 -26.69 -6.29
1684259172072930 0.00 0.00 0.00 0.00 10.74 6.49 9.65 3.68 -28.37 -9.47 -29.03 -7.47
1684259172088638 0.00 0.00 0.00 0.00 10.74 5.24 9.96 3.83 -19.80 -39.83 -27.87 -12.45
1684259172106733 0.00 0.00 0.00 0.00 13.23 5.24 10.27 4.30 -17.22 -8.62 -26.72 -15.75
1684259172122486 0.00 0.00 0.00 0.00 11.98 8.99 10.74 4.77 -19.75 -29.79 -22.63 -18.16
1684259172139314 0.00 0.00 0.00 0.00 13.24 3.99 11.21 4.93 -27.75 -27.81 -23.60 -17.87
1684259172158536 0.00 0.00 0.00 0.00 14.48 6.49 11.67 5.24 -24.34 -8.10 -24.19 -17.65
1684259172170874 0.00 0.00 0.00 0.00 13.24 3.99 12.30 5.40 -37.89 -25.28 -24.36 -17.37
1684259172186258 0.00 0.00 0.00 0.00 15.73 5.23 12.92 5.71 -40.55 -10.11 -26.96 -19.88
1684259172202455 0.00 0.00 0.00 0.00 16.98 5.23 13.70 5.55 -38.52 -19.24 -28.23 -21.10
1684259172218869 0.00 0.00 0.00 0.00 18.24 5.22 14.64 5.55 -47.59 9.64 -31.70 -14.91
1684259172234631 0.00 0.00 0.00 0.00 15.73 6.48 14.95 5.70 -59.46 0.15 -36.98 -13.82
1684259172251325 0.00 0.00 0.00 0.00 16.98 5.23 15.58 5.23 -18.69 -9.32 -36.85 -11.26
1684259172270158 0.00 0.00 0.00 0.00 15.73 5.23 15.89 5.39 -33.22 24.97 -37.53 -4.66
1684259172283583 0.00 0.00 0.00 0.00 16.99 3.97 16.20 5.07 -23.24 -11.60 -37.40 -5.10
1684259172300187 0.00 0.00 0.00 0.00 15.74 3.98 16.52 5.07 -18.88 18.91 -35.02 0.43
1684259172316099 0.00 0.00 0.00 0.00 19.49 3.97 16.99 4.91 -19.64 0.05 -32.41 1.70
1684259172334407 0.00 0.00 0.00 0.00 19.49 3.97 17.30 4.76 -25.67 8.64 -30.80 5.18
1684259172349020 0.00 0.00 0.00 0.00 20.75 2.71 17.61 4.44 -21.46 10.79 -27.53 5.32
1684259172365212 0.00 0.00 0.00 0.00 20.75 3.96 18.24 4.13 -19.43 19.43 -22.53 7.73
1684259172381718 0.00 0.00 0.00 0.00 22.01 1.45 18.87 3.65 -38.00 19.10 -24.94 11.29
1684259172398685 0.00 0.00 0.00 0.00 22.01 1.45 19.65 3.18 -37.05 27.87 -25.42 11.65
1684259172413759 0.00 0.00 0.00 0.00 22.01 2.70 20.28 3.02 -52.08 31.40 -29.03 17.02
1684259172431537 0.00 0.00 0.00 0.00 22.01 1.45 21.07 2.70 -35.30 8.96 -31.08 15.78
1684259172446224 0.00 0.00 0.00 0.00 22.02 0.19 21.38 2.23 -53.42 21.56 -35.30 18.47
1684259172462374 0.00 0.00 0.00 0.00 23.27 1.44 21.85 1.92 -19.55 29.24 -34.53 21.04
