#Task Selector: 5
#PID Parameters: kp: 0.04, kd: 0.04, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684258510078955 0.00 0.00 0.00 0.00 5.75 16.47 0.72 2.06 0.00 0.00 0.00 0.00
1684258510078956 0.00 0.00 0.00 0.00 4.50 12.74 1.28 3.65 -40.04 -114.75 -5.00 -14.34
1684258510098936 0.00 0.00 0.00 0.00 3.26 13.98 1.69 5.40 -28.17 -79.68 -8.53 -24.30
1684258510115072 0.00 0.00 0.00 0.00 4.50 11.49 2.25 6.83 -25.25 -108.31 -11.68 -37.84
1684258510127780 0.00 0.00 0.00 0.00 4.50 11.49 2.81 8.27 -44.30 -113.03 -17.22 -51.97
1684258510143778 0.00 0.00 0.00 0.00 3.26 12.74 3.22 9.86 -35.19 -89.78 -21.62 -63.19
1684258510160041 0.00 0.00 0.00 0.00 5.75 12.74 3.94 11.46 -25.05 -97.90 -24.75 -75.43
1684258510177415 0.00 0.00 0.00 0.00 3.26 12.74 4.35 13.05 -41.35 -91.64 -29.92 -86.89
1684258510192412 0.00 0.00 0.00 0.00 2.02 16.47 3.88 13.05 -27.16 -106.16 -33.31 -100.16
1684258510208753 0.00 0.00 0.00 0.00 4.50 13.98 3.88 13.20 28.54 0.00 -24.74 -85.81
1684258510225773 0.00 0.00 0.00 0.00 4.50 12.74 4.04 13.05 0.00 -9.15 -21.22 -77.00
1684258510241301 0.00 0.00 0.00 0.00 4.50 13.98 4.04 13.36 -10.02 10.02 -19.32 -62.20
1684258510257834 0.00 0.00 0.00 0.00 5.75 12.74 4.19 13.51 0.00 -18.83 -13.78 -50.43
1684258510273862 0.00 0.00 0.00 0.00 6.99 12.74 4.66 13.51 -9.70 -9.72 -10.59 -40.42
1684258510290220 0.00 0.00 0.00 0.00 6.99 10.24 4.81 13.20 -28.53 0.00 -11.03 -28.18
1684258510307200 0.00 0.00 0.00 0.00 5.75 10.24 5.13 12.89 -9.17 18.35 -7.00 -14.43
1684258510322717 0.00 0.00 0.00 0.00 6.99 12.74 5.75 12.42 -20.05 20.08 -6.12 1.35
1684258510340860 0.00 0.00 0.00 0.00 5.75 10.24 5.90 11.96 -34.29 25.73 -13.97 4.56
