#Task Selector: 5
#PID Parameters: kp: 0.05, kd: 0.05, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684259236258747 0.00 0.00 0.00 0.00 9.51 -6.06 1.19 -0.76 0.00 0.00 0.00 0.00
1684259236258748 0.00 0.00 0.00 0.00 9.49 2.74 2.38 -0.42 -74.04 47.22 -9.26 5.90
1684259236274784 0.00 0.00 0.00 0.00 9.51 -4.80 3.56 -1.02 -74.01 -21.36 -18.51 3.23
1684259236291280 0.00 0.00 0.00 0.00 10.76 -4.81 4.91 -1.62 -72.04 36.40 -27.51 7.78
1684259236308263 0.00 0.00 0.00 0.00 10.76 -3.55 6.25 -2.06 -79.18 35.37 -37.41 12.20
1684259236323858 0.00 0.00 0.00 0.00 82.40 -24.01 16.55 -5.06 -86.21 28.42 -48.19 15.76
1684259236340038 0.00 0.00 0.00 0.00 10.76 -3.55 17.90 -5.50 -636.61 185.50 -127.76 38.94
1684259236355996 0.00 0.00 0.00 0.00 10.76 -6.07 19.24 -6.26 -84.25 27.77 -138.29 42.42
1684259236373192 0.00 0.00 0.00 0.00 10.75 -2.29 19.40 -5.79 -78.23 44.11 -148.07 47.93
1684259236388453 0.00 0.00 0.00 0.00 9.50 -3.54 19.40 -6.58 -10.18 -30.95 -140.09 38.16
1684259236405170 0.00 0.00 0.00 0.00 10.76 -3.55 19.56 -6.42 -0.08 46.98 -130.85 46.70
1684259236421188 0.00 0.00 0.00 0.00 8.26 -4.80 19.24 -6.42 -9.74 -9.82 -123.06 40.92
1684259236437656 0.00 0.00 0.00 0.00 9.50 -3.54 19.09 -6.42 18.99 -0.04 -110.79 36.50
1684259236456856 0.00 0.00 0.00 0.00 9.50 -2.28 9.97 -3.70 8.14 -0.02 -99.00 32.94
1684259236470266 0.00 0.00 0.00 0.00 9.51 -4.80 9.82 -3.86 679.59 -202.55 65.53 -15.56
1684259236487850 0.00 0.00 0.00 0.00 9.51 -4.80 9.66 -3.70 8.87 8.94 77.17 -17.92
1684259236502895 0.00 0.00 0.00 0.00 9.51 -6.06 9.51 -4.17 10.42 -10.50 88.25 -24.74
1684259236519075 0.00 0.00 0.00 0.00 7.00 -1.02 9.19 -3.86 9.60 29.19 90.72 -17.23
1684259236535081 0.00 0.00 0.00 0.00 7.00 -2.28 8.72 -3.70 19.54 -19.68 93.18 -25.56
1684259236552407 0.00 0.00 0.00 0.00 8.25 -3.54 8.72 -3.54 27.07 -9.13 97.78 -25.47
1684259236569052 0.00 0.00 0.00 0.00 7.00 -3.54 8.41 -3.54 0.01 -9.47 95.41 -26.65
1684259236584284 0.00 0.00 0.00 0.00 5.75 -2.28 7.94 -3.54 20.52 -0.03 96.95 -26.65
1684259236600384 0.00 0.00 0.00 0.00 8.25 0.23 7.79 -2.91 29.10 -0.04 15.64 -1.34
1684259236616860 0.00 0.00 0.00 0.00 8.25 -2.28 7.63 -2.60 9.54 -38.21 15.73 -7.23
1684259236634552 0.00 0.00 0.00 0.00 7.00 -2.28 7.32 -2.12 8.86 -17.82 15.53 -8.15
1684259236649112 0.00 0.00 0.00 0.00 8.25 -1.02 7.47 -2.12 21.51 -32.49 17.02 -15.86
1684259236668109 0.00 0.00 0.00 0.00 8.25 -3.54 7.63 -2.28 -8.22 0.01 13.55 -13.40
1684259236681588 0.00 0.00 0.00 0.00 9.50 -3.54 7.78 -2.28 -11.60 11.69 8.72 -10.79
1684259236698198 0.00 0.00 0.00 0.00 12.01 -3.55 8.41 -2.28 -9.41 0.02 7.54 -9.61
1684259236716724 0.00 0.00 0.00 0.00 10.76 -4.81 9.04 -2.60 -33.75 0.06 0.76 -9.60
1684259236730701 0.00 0.00 0.00 0.00 13.26 -4.81 9.66 -3.23 -44.75 22.60 -8.48 -6.77
1684259236747294 0.00 0.00 0.00 0.00 13.27 -6.07 10.29 -3.70 -37.76 38.01 -14.39 2.76
1684259236762506 0.00 0.00 0.00 0.00 15.77 -4.82 11.38 -4.02 -41.19 31.16 -20.65 8.88
1684259236778879 0.00 0.00 0.00 0.00 17.03 -7.35 12.48 -4.81 -66.91 19.40 -31.70 15.37
1684259236795336 0.00 0.00 0.00 0.00 18.29 -7.36 13.74 -5.29 -66.69 48.05 -39.01 21.37
1684259236812024 0.00 0.00 0.00 0.00 20.80 -8.63 15.15 -5.92 -75.14 28.58 -46.95 23.48
1684259236828367 0.00 0.00 0.00 0.00 22.06 -8.64 16.40 -6.56 -86.43 38.91 -56.58 28.35
1684259236843812 0.00 0.00 0.00 0.00 22.06 -7.37 17.82 -6.88 -81.38 41.18 -62.53 33.49
1684259236861557 0.00 0.00 0.00 0.00 23.29 -3.59 19.07 -6.73 -79.59 18.09 -66.89 32.92
1684259236877341 0.00 0.00 0.00 0.00 25.84 -9.92 20.64 -7.21 -79.46 -9.65 -72.10 26.97
1684259236896958 0.00 0.00 0.00 0.00 28.37 -11.19 22.22 -8.01 -80.16 24.49 -76.97 26.13
1684259236912359 0.00 0.00 0.00 0.00 28.37 -12.45 23.64 -8.64 -102.29 51.71 -81.39 30.17
1684259236925277 0.00 0.00 0.00 0.00 30.89 -11.20 25.21 -9.13 -109.76 49.39 -86.77 30.34
1684259236941429 0.00 0.00 0.00 0.00 29.64 -13.72 26.32 -9.76 -97.53 29.76 -89.57 30.49
1684259236957548 0.00 0.00 0.00 0.00 30.90 -13.72 27.42 -10.40 -68.50 39.47 -87.33 30.56
