#Task Selector: 6
#PID Parameters: kp: 0.08, kd: 0.04, ki: 0.02
#n_pos: 8
#n_vel: 8
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1684256391983734 0.00 0.00 0.00 0.00 17.00 0.21 2.13 0.03 0.00 0.00 0.00 0.00
1684256391983734 0.00 0.00 0.00 0.00 17.00 0.21 4.25 0.05 -130.11 -1.61 -16.26 -0.20
1684256391999759 0.00 0.00 0.00 0.00 19.50 1.46 6.69 0.23 -132.61 -1.64 -32.84 -0.41
1684256392017937 0.00 0.00 0.00 0.00 20.75 2.71 9.28 0.57 -134.12 -10.01 -49.60 -1.66
1684256392031973 0.00 0.00 0.00 0.00 20.74 5.21 11.87 1.22 -184.81 -24.10 -72.71 -4.67
1684256392048034 0.00 0.00 0.00 0.00 20.74 5.21 14.47 1.88 -161.43 -40.59 -92.89 -9.74
1684256392063871 0.00 0.00 0.00 0.00 23.26 2.70 17.38 2.21 -163.73 -41.16 -113.35 -14.89
1684256392080868 0.00 0.00 0.00 0.00 25.78 2.68 20.60 2.55 -171.09 -19.82 -134.74 -17.37
1684256392096501 0.00 0.00 0.00 0.00 27.02 6.44 21.85 3.33 -206.13 -21.46 -160.50 -20.05
1684256392112825 0.00 0.00 0.00 0.00 33.33 6.42 23.89 4.10 -76.74 -47.74 -153.83 -25.82
1684256392128881 0.00 0.00 0.00 0.00 19.49 3.97 23.89 4.42 -127.15 -48.33 -153.15 -31.65
1684256392145718 0.00 0.00 0.00 0.00 24.50 6.45 24.36 4.89 0.07 -18.63 -136.38 -32.73
1684256392161491 0.00 0.00 0.00 0.00 16.99 3.97 23.89 4.73 -29.74 -29.69 -116.99 -33.43
1684256392178169 0.00 0.00 0.00 0.00 19.48 6.47 23.73 4.89 28.14 9.29 -93.30 -27.19
1684256392193993 0.00 0.00 0.00 0.00 20.74 5.21 23.42 5.20 9.94 -9.93 -71.59 -23.29
1684256392210518 0.00 0.00 0.00 0.00 18.23 6.48 22.47 5.68 19.08 -19.06 -47.82 -23.19
1684256392226335 0.00 0.00 0.00 0.00 18.23 6.48 21.38 5.68 59.65 -29.97 -14.59 -24.26
1684256392242756 0.00 0.00 0.00 0.00 21.99 6.46 19.96 5.69 66.92 -0.25 3.36 -18.32
1684256392258959 0.00 0.00 0.00 0.00 20.74 6.47 20.11 6.00 87.49 -0.35 30.19 -12.32
1684256392275239 0.00 0.00 0.00 0.00 23.24 8.96 19.96 6.31 -9.56 -19.21 28.99 -12.40
